electrical_fitness,fitness,thermal_fitness,mass_flow_rate,run_number
2643.869412988542,7191.925628204408,11739.981843420272,83.4049839185101,0
2645.412176548329,7205.439362536498,11765.466548524668,144.06517836393817,0
2029.430814503348,1207.8499518844574,386.2690892655674,0.0238748490941599,0
2642.523720957132,7179.979230648038,11717.434740338944,60.46721219379532,0
2602.966456551272,6862.964533674161,11122.96261079705,29.3520314075318,0
2499.885197618902,6457.639149426494,10415.393101234087,18.46862661516479,0
2614.102503130456,6909.037765840316,11203.973028550176,37.2528560153228,0
2643.1197879957854,7185.388323117409,11727.656858239032,69.11279984788251,0
2643.679745215208,7190.317800493583,11736.955855771956,79.35409807865976,0
2644.67857661628,7199.11009632013,11753.54161602398,107.76380798393738,0
2643.893226774096,7192.089096877438,11740.28496698078,83.83948368614456,0
2645.2984429521466,7204.465672567734,11763.632902183324,137.0442148598515,0
2614.6309842671285,6913.690977462783,11212.750970658435,40.89124549405375,0
2645.799946235911,7208.828780387882,11771.857614539853,175.6236091607527,0
2574.342907073104,6567.600877048213,10560.858847023324,5.478491251992035,0
2645.250470449228,7204.016914847708,11762.783359246188,134.09383156817026,0
2643.877190750469,7191.949332754756,11740.021474759043,83.46154316862302,0
2644.790488014512,7200.006681380867,11755.222874747222,111.73840699932188,0
2459.5094201188936,6306.419867744825,10153.330315370757,28.07824733210816,0
2614.4524938120217,6912.150190147454,11209.847886482888,39.62109971548667,0
2645.626974495847,7207.331986700829,11769.036998905807,160.14911299053867,0
2645.966518165957,7210.290302625173,11774.61408708439,193.6523468823038,0
2642.6852544969115,7181.497670376912,11720.310086256912,62.6855222076704,0
2645.3194966829305,7204.664392627085,11764.00928857124,138.46483081124714,0
2645.794147750815,7208.797239342719,11771.800330934624,175.27795407005536,0
2645.836378436117,7209.114863242194,11772.39334804827,178.92143809410595,0
2598.329317378309,6787.476275667523,10976.623233956736,17.009757229744213,0
2519.3461573439185,6455.870582108396,10392.395006872874,7.811917591793239,0
2460.638617988599,6316.700205092045,10172.76179219549,33.96691408249421,0
2645.792911367752,7208.8256775759055,11771.858443784058,175.6286225433792,0
2500.5088547004107,6463.298906671107,10426.088958641803,19.670268419776185,0
2643.9111275077053,7192.230255169597,11740.549382831488,84.22210389338544,0
2645.525511071054,7206.448680138263,11767.37184920547,152.34641609819428,0
2645.910491024536,7209.753323707973,11773.596156391412,186.62863046216776,0
2645.0634442346063,7202.4047461992905,11759.746048163976,124.21609285789164,0
2644.403851232358,7196.650081424903,11748.896311617447,98.06153469040186,0
2645.7150484314607,7208.035523924582,11770.355999417705,167.09748596856645,0
2484.0899793062067,6475.81654352412,10467.543107742033,51.39285039758671,0
2646.010269378436,7210.743863971345,11775.477458564254,200.0,0
2644.19749936043,7194.838623451697,11745.479747542964,91.8422223173284,0
2644.9406893901155,7201.310264387118,11757.67983938412,118.140787750453,0
2643.4247644823445,7187.938678474877,11732.452592467407,74.10123260913996,0
2645.1595650589907,7203.220968849186,11761.282372639382,128.99436162695312,0
2644.556363765829,7197.9392417607805,11751.322119755732,102.8405439427372,0
2645.467027947379,7205.961291720251,11766.455555493125,148.25162162036182,0
2645.5866408548595,7206.912941987873,11768.239243120886,156.32025565624903,0
2627.0238671751545,7027.281422872697,11427.53897857024,46.04605353854764,0
2645.8778911799504,7209.46023652349,11773.042581867028,182.93573119510305,0
2645.750768101322,7208.3758580568465,11771.000948012372,170.71217025834352,0
2645.934929875039,7210.035611730399,11774.13629358576,190.22152526447468,0
2632.063671639157,7064.70439411036,11497.345116581564,56.38067554273373,0
2645.6586226981776,7207.683264555648,11769.707906413118,163.61182583857578,0
2644.075335976336,7193.747509544055,11743.419683111772,88.56975826135869,0
2645.979308715769,7210.519135750355,11775.05896278494,196.95667457932765,0
2644.868085835588,7200.698533037063,11756.528980238538,115.00078954794184,0
2594.970812205392,6757.184698620951,10919.398585036512,13.217726389166229,0
2642.931823839167,7183.606571959619,11724.28132008007,66.04903999288156,0
2644.311398943852,7195.801771994258,11747.292145044665,95.02371614252758,0
2644.998945236821,7201.881960935823,11758.764976634826,121.25770656029428,0
2645.378629994017,7205.090206083554,11764.801782173092,141.46500505182073,0
2643.5493863444544,7189.14182363209,11734.734260919724,76.65833355920672,0
2645.212550237963,7203.610441219378,11762.008332200792,131.44908995868835,0
2644.619872796988,7198.527193278323,11752.434513759656,105.27712246067463,0
2643.2735404605746,7186.677108362677,11730.08067626478,71.5728880545634,0
2645.108187951734,7202.823270756766,11760.538353561797,126.56918566548748,0
2644.484323995747,7197.31084206816,11750.137360140572,100.40889623887334,0
2645.5061300170346,7206.212881024297,11766.91963203156,150.2984582696219,0
2616.9614460691687,6930.958927967867,11244.956409866563,43.86851821661542,0
2645.8516446370536,7209.295853285519,11772.740061933984,180.9775011604543,0
2645.760106354326,7208.551000786825,11771.341895219324,172.68499393553884,0
